1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: Possibly an Anglicized form of Irish Gaelic Meadhbh, meaning "intoxicating." Short form of English Mabel, meaning "lovable." | female. MAB
1: Possibly an English Christian coinage derived from Latin petulare, meaning "to ask," hence "supplicant." | female. PETULA
1: Possibly an English contracted form of Arabic Selima, meaning "peaceful." Compare with other forms of Selma. | female. SELMA
1: Possibly an English form of Latin Selena, meaning "moon." This name was first recorded in the 17th century. | female. SELINA
1: Possibly a variant spelling of English Irvin, meaning "fresh water" or "green water." | male. ARVIN
1: Probably a feminine form of German Wendel, meaning "a Wend; a wanderer," a term used to refer to migrant Slavs in the sixth century. | female. WANDA
1: Probably a Middle English form of Anglo-Saxon Æðelbert, meaning "bright nobility." | male. DELBERT
1: Probably a modern variant spelling of English Jared, meaning "descent." | male. JARETH
1: Probably an English contraction of French Marcelon, meaning "little one of the sea." This name was first brought to public attention by the American actor Marlon Brando whose family is said to be of French descent. | male. MARLON
1: Probably an English variant spelling of German Wilma, meaning "will-helmet." | female. VELMA
1: Probably a Norman French double diminutive form of the German word arn "eagle," hence "tiny little eagle." | female. ARLETTE
1: Probably a variant spelling of English Darwin, meaning "dear friend." | male. DERWIN
1: Probably a variant spelling of English Kayla, meaning "slender." | female. KEILA
1: Probably a variant spelling of English Kaylyn, meaning "girl." | female. KAYLEEN
1: Probably originally an Anglicized form of French Jacques, meaning "supplanter," it is now considered a pet form of English John, meaning "God is gracious." | male. JACK
1: Rarely used feminine form of English Timothy, meaning "to honor God." | female. TIMOTHA
1: Roman Latin name derived from the word festus, meaning "festival." In the bible, this is the name of the successor of Felix, the procurator of Judea who refused to bow to the pressure of the Jews who wanted him to condemn St Paul to death for preaching. He is also known by the name Porcius. | male. FESTUS
1: Roman Latin name meaning "conqueror." | male. VICTOR
1: Roman Latin name meaning "flower." In mythology, this is the name of a goddess of flowers and spring. Compare with another form of Flora. | female. FLORA
1: Roman Latin name meaning "heavy" or "the dullard." In use by the English. | male. BRUTUS
1: Roman name derived from the Latin word scholasticus, meaning "scholar." | female. SCHOLASTICA
1: Roman name meaning "of the Tiber (river)." Occasionally used by the English. | male. TIBERIUS
1: Russian form of Greek Ioannes, meaning "God is gracious." In use by the English, Czechs and Ukrainians. | male. IVAN (Иван)
1: Scandinavian form of Old Norse Hulð, meaning "hidden, obscure, secret." Variant spelling of English Huldah, meaning "mole" or "weasel." | female. HULDA
1: Scottish Anglicized form of Gaelic Aibhilï��n, meaning "little Eve." | female. AILEEN
1: Scottish habitational surname transferred to unisex forename use, composed of the Old English elements ansetl "hermitage" and leah "meadow, pasture," hence "hermitage meadow." | female. AINSLEY
1: Scottish name derived from the surname Grantham, from a place name composed of the Old English elements grand "gravel" and ham "home," hence "gravel home." | male. GRAHAM
1: Scottish surname transferred to English forename use, composed of the Old English elements hamel "blunt, crooked, flat-topped" and dun "hill," hence "flat-topped hill." | male. HAMILTON
1: Scottish surname transferred to English forename use, composed of the Welsh elements ir/yr "fresh, green" and afon "water," hence "fresh water" or "green water." | male. IRVING
1: Scottish surname transferred to English forename use, from the Celtic name of a river, composed of the Welsh elements ir/yr "fresh, green" and afon "water," hence "fresh water" or "green water." | male. IRVINE
1: Scottish surname transferred to English unisex forename use, composed of the name Lincoln and the Old English word ey "wetland," hence "Lincoln's wetlands." In Scotland, this is strictly a masculine name. | female. LINDSAY
1: Scottish surname transferred to English unisex forename use, composed of the name Lincoln and the Old English word ey "wetland," hence "Lincoln's wetlands." In Scotland, this is strictly a masculine name. | male. LINDSAY
1: Scottish surname transferred to forename use, from an Anglicized form of Gaelic Dùbhghlas, meaning "black stream." | male. DOUGLAS
1: Scottish surname transferred to forename use, from an Anglicized form of Gaelic Ó Duibhín "descendant of Duibhín," hence "little black one." | male. DAVIN
1: Scottish surname transferred to forename use, from a Norman baronial place name in France called "Saint-Clair." | male. SINCLAIR
1: Scottish surname transferred to forename use, from the name of a place in Berwickshire composed of the Welsh elements gor "spacious" and din "fort," hence "spacious fort." | male. GORDON
1: Scottish surname transferred to unisex forename use, from an Anglicized form of Gaelic Mac Coinnich "son of Coinneach," hence "comely; finely made." | female. MACKENZIE
1: Scottish surname transferred to unisex forename use, from an Anglicized form of Gaelic Mac Coinnich "son of Coinneach," hence "comely; finely made." | male. MACKENZIE
1: Scottish surname transferred to unisex forename use, from an Anglicized form of Gaelic P� islig, possibly derived from Late Latin basilica, meaning "church." | male. PAISLEY
1: Scottish surname transferred to unisex forename use, from an Anglicized form of Gaelic P� islig, possibly meaning "church." | female. PAISLEY
1: Scottish surname transferred to unisex forename use, from the name of the great Highland clans whose ancestor had an ungraceful proboscis, composed of the Gaelic elements cam "bent, crooked" and sròn "nose," hence "crooked nose." | female. CAMERON
1: Scottish surname transferred to unisex forename use, from the name of the great Highland clans whose ancestor had an ungraceful proboscis, composed of the Gaelic elements cam "bent, crooked" and sròn "nose," hence "crooked nose." | male. CAMERON
1: Scottish unisex name derived from any of a number of places in Scotland called Blair, derived from the Gaelic word bl� r, meaning "field, plain," most often referring to a "battlefield." | female. BLAIR
1: Short form of English Adelaide"noble sort," and Adela "noble." Compare with other forms of Ada. | female. ADA
1: Short form of English Alyssa, meaning either "noble sort" or "alyssum flower." | female. LYSSA
1: Short form of English Benjamin "son of the right hand" and Benedict "blessed." | male. BEN
1: Short form of English Calvin "little bald one," and other names beginning with Cal-. | male. CAL
1: Short form of English/French Florence "blossoming" and Latin Flora "flower." | female. FLO
1: Short form of English Kenneth, meaning both "born of fire" and "comely; finely made." Also used as a nickname for other names that begin with Ken-. Compare with another form of Ken. | male. KEN
1: Short form of English Morton "settlement on the moor," and Mortimer "dead sea." | male. MORT
1: Short form of English names beginning with Al-. Compare with another form of Al. | male. AL
1: Short form of English names beginning with Brad-, from Old English brád, meaning "broad." | male. BRAD
1: Short form of English names beginning with Ty-. | male. TY
1: Short form of English names ending with -isha or -licia. | female. LISHA
1: Short form of English names ending with -licia. | female. LICIA
1: Short form of English names ending with -lina. Compare with other forms of Lina. | female. LINA
1: Short form of English Nathan "a giver" or "given of God" and Nathaniel "given of God." Compare with another form of Nat. | male. NAT
1: Short form of English Prudence "cautious" and Prunella "little prune." | female. PRU
1: Short form of English Prudence "cautious" and Prunella "little prune." | female. PRUE
1: Short form of English Roderick "famous power" and Rodney "Hroda's fen/island." | male. ROD
1: Short form of French Éliane, meaning "sun." | female. LIANE
1: Short form of Italian names ending with -tina. | female. TINA
1: Short form of names beginning with the letter "K." | female. KAY
1: Short form of Scottish unisex Cameron ("crooked nose"), and other names beginning with Cam-. | male. CAM
1: Slovene form of English Margaret, meaning "pearl." | female. MARJETA
1: Spanish name derived from a title of the Virgin Mary, María de las Mercedes ("Mary of Mercies"), meaning "mercies." | female. MERCEDES
1: Spanish name derived from a title of the Virgin Mary, Maria de los Dolores ("Mary of Sorrows"), hence "sorrows." | female. DOLORES
1: Spanish name meaning "pretty." | female. BONITA
1: Surname transferred to forename use, derived from Old English brocc meaning "badger." | male. BROCK
1: Swedish form of English Emily, meaning "rival." | female. EMELIE
1: Swiss pet form of Old High German Adalheid, meaning "noble sort." | female. HEIDI
1: The origin of the American southern "Dixie" is uncertain; however, Louisiana dollars had the French word dix printed on them, meaning "tenth," and this may have been what inspired the song about "the land of dixies," and later the name itself. | female. DIXIE
1: This English name first appeared in the 1920s and is probably a blend of Cherie "darling" and the gem name Beryl, hence "darling beryl." | female. CHERYL
1: This English name is usually chosen for its association with the butterfly genus. Its origin remains uncertain despite the claim that it was invented by Jonathan Swift, author of Gulliver's Travels, for his intimate friend Esther Vanhomrigh. Supposedly he created it by combining the first syllable of her surname, Van-, with her first name, Esther, or the suffix -essa; but, if he created it at all, it is more likely that he based it on the Greek name Phanessa, substituting the "Ph" with the "V" from Esther's surname. Besides, the name may have existed before Swift's time. Phanessa is a feminine form of Orphic Phanes, the name of a primeval, hermaphroditic golden-winged god, meaning "bring to light; make appear." | female. VANESSA
1: This name became popular as a boy's name after the making of the Star Wars saga by George Lucas, who named his Darth Vader character after the surname of director Ken Annakin, a variant spelling of the Low German female personal name Anniken, a form of Hannah, meaning "favor; grace." | male. ANAKIN
1: This name first appears in the chronicles of Geoffrey of Monmouth; Sir Walter Scott then brought the name to the public's attention by using it to name a character in his novel Ivanhoe. It is the Latin form of an uncertain Anglo-Saxon name, perhaps Hrodwyn, meaning "famous joy." | female. ROWENA
1: This name was coined by professor Bryan Sykes, author of The Seven Daughters of Eve, for a particular Native American genetic line, one of four reconstructed mtDNA lines believed to have colonised America. The name was adopted into English usage, mostly by Americans. It may mean "ever-blooming." | female. AIYANA
1: This name was invented by the Scottish poet James Macpherson, based on the Gaelic term mala mhin, meaning "smooth-brow." | female. MALVINA
1: This was once a popular American English pet name for athletes, especially in the early 1900s, before and after Babe Ruth. Compare with feminine Babe. | male. BABE
1: Today, this English name is most often given as a flower name, or used as a short form of the herb name Rosemary. However, it was in use throughout the Middle Ages (long before herb and flower names became popular) and probably originated as a short form of longer Germanic names containing the word hrod, meaning "horse." | female. ROSE
1: Tolkien literary name meaning "star dome." | male. ELROND
1: Unisex pet form of English Joe "(God) shall add (another son)" and Jo "God is gracious." | female. JOJO
1: Unisex pet form of English Joe "(God) shall add (another son)" and Jo "God is gracious." | male. JOJO
1: Unisex short form of English names beginning with Mel-. | female. MEL
1: Unisex short form of English names beginning with Mel-. | male. MEL
1: Variant spelling of English Alyssa, meaning either "noble sort" or "alyssum flower." | female. ALYSA
1: Variant spelling of English Annona, which was probably derived from the plant genus name annona, from Taíno annon, a species of plants which produce nutritious edible pond-apples. | female. ANONA
1: Variant spelling of English Annona, which was probably derived from the plant genus name annona, from Taíno annon, a species of plants which produce nutritious edible pond-apples. | female. ANONNA
1: Variant spelling of English Arline, a short form of longer names ending with -arlene or -arline. | female. ARLEEN
1: Variant spelling of English Arline, a short form of longer names ending with -arlene or -arline. | female. ARLENE
1: Variant spelling of English Bonnie, meaning both "good" and "pretty." | female. BONNY
1: Variant spelling of English Cade, "round and lumpy." | male. KADE
1: Variant spelling of English Candy, meaning either "candy" the sweet, or "prince of servants." | female. CANDI
1: Variant spelling of English Cara, meaning either "beloved" or "friend." | female. KARA
1: Variant spelling of English Carina which originally meant "shell of a nut," later "keel of a ship." | female. KARYNA
1: Variant spelling of English China, derived from the country name which probably got its name from the Qin dynasty. The Chinese people call their country Zhongguo which translates to "middle kingdom." | female. CHYNA
1: Variant spelling of English Dandrane, the Arthurian legend name of the sister of Percival, sometimes known as the "Grail heroine." She is a major character in many of the Holy Grail stories. | female. DINDRANE
1: Variant spelling of English Dindrane, the Arthurian legend name of the sister of Percival, sometimes known as the "Grail heroine." She is a major character in many of the Holy Grail stories. | female. DINDRAINE
1: Variant spelling of English Elkanah, meaning either "God has created" or "God has possessed." | male. ELKANA
1: Variant spelling of English Jamar, probably meaning either "to change" or "happy and healthy." | male. JAMAAR
1: Variant spelling of English Jay, a short form of longer names beginning with "J." | male. JAI
1: Variant spelling of English Jay, a short form of name beginning with the letter "J." | male. JAE
1: Variant spelling of English Jay, a short form of names beginning with the letter "J." | male. JAYE
1: Variant spelling of English Kara, meaning either "beloved" or "friend." | female. KARAUGH
1: Variant spelling of English Kay, a short form of longer names beginning with the letter "K." | female. KAYE
1: Variant spelling of English Kay, a short form of names beginning with "K." Compare with masculine Kae. | female. KAE
1: Variant spelling of English Kenneth, meaning both "born of fire" and "comely; finely made." | male. KENITH
1: Variant spelling of English Kenneth, meaning both "comely; finely made" and "born of fire." | male. KENNITH
1: Variant spelling of English Lina, a short form of names ending with -lina. Compare with other forms of Leena. | female. LEENA
1: Variant spelling of English Lorne, of unknown meaning. | male. LORN
1: Variant spelling of English Mamie, a pet form of both Mary "obstinacy, rebelliousness" or "their rebellion" and Margaret "pearl." | female. MAYME
1: Variant spelling of English Marshall, meaning either "keeper of horses" or "shoeing smith." | male. MARSHAL
1: Variant spelling of English Maxine, meaning either "the greatest rival" or "the stream of Mack." | female. MAXENE
1: Variant spelling of English Melinda, meaning either "black/dark serpent" or "sweet serpent." | female. MALINDA
1: Variant spelling of English Nevin, meaning either "little bone" or "little saint." | male. NEVAN
1: Variant spelling of English Posy, meaning both "bouquet, flower" and "(God) shall add (another son)." | female. POSEY
1: Variant spelling of English Posy, meaning both "bouquet, flower" and "(God) shall add (another son)." | female. POSIE
1: Variant spelling of English Twyla, which was probably based on the word "twilight." | female. TWILA
1: Variant spelling of English unisex Afton, derived from the name of the River Afton in Ayrshire, Scotland, made famous in Burns' poem "Sweet Afton." | female. AFFTON
1: Variant spelling of English unisex Afton, derived from the name of the River Afton in Ayrshire, Scotland, made famous in Burns' poem "Sweet Afton." | male. AFFTON
1: Variant spelling of English unisex Cheyenne, meaning "little � ahíya" or "little red-talker." | female. CHEYANNE
1: Variant spelling of English unisex Cheyenne, meaning "little � ahíya" or "little red-talker." | male. CHEYANNE
1: Variant spelling of English unisex Paris, a modern name derived from the French capital city, Paris, from the name of a Gaulish tribe called the Parisii, who once lived on the site. | female. PARRIS
1: Variant spelling of English unisex Paris, derived from the name of the French capital city, Paris, from the name of a Gaulish tribe called the Parisii, who once lived on the site. | male. PARRIS
1: Variant spelling of English unisex Payton, meaning "Pæga's settlement." | female. PEYTON
1: Variant spelling of English unisex Payton, meaning "Pæga's settlement." | male. PEYTON
1: Variant spelling of English unisex Riley, meaning "rye clearing. | male. REILLY
1: Variant spelling of English unisex Riley, meaning "rye meadow. | female. REILLY
1: Variant spelling of Latin Cletus, meaning famous, renowned." | male. CLETIS
1: Variant spelling of Middle English Algar, meaning elf spear." | male. ALGER
1: Variant spelling of Middle English Aylward, meaning either "noble guard" or "elf guard." | male. AILWARD
1: Welsh name composed of the elements dy "great" and llanw "sea," hence "great sea." In mythology, this is the name of a sea god, son of Aranrhod, and twin brother to Lleu Llaw Gyffes. | male. DYLAN
1: Welsh name composed of the elements gwen "fair, holy, white" and da "good," hence "fair and good." | female. GWENDA
1: Welsh name composed of the elements gwen "fair, holy, white" and dolen "bow, ring," hence "white bow" or "white ring." In mythology, this is the name of King Locrine's wife. | female. GWENDOLEN
1: Welsh name, derived from ancient Celtic Morcant, probably meaning "sea circle." In use by the English as a unisex name. | female. MORGAN
1: Welsh name, derived from ancient Celtic Morcant, probably meaning "sea circle." In use by the English as a unisex name. | male. MORGAN
1: Welsh name derived from the word gwen, meaning "fair, holy, white." Also used as a short form of longer names containing gwen. | female. GWEN
1: Welsh name derived from the word llyn, meaning "lake." | female. LYNN
1: Welsh name, perhaps derived from Celtic Gahareet, meaning "old." In Arthurian legend, this is the name of a Knight of the Round Table, the son of Lot and Morgause, therefore Arthur's nephew. A very popular name in Wales. In use by the English. | male. GARETH
1: Welsh surname transferred to forename use, from an Anglicized form of the personal name Rhydderch, meaning "reddish-brown." | male. BRODERICK
1: Welsh unisex form of Celtic Agrona, the name a goddess of war and death who was portrayed as a masculine figure in Welsh mythology, meaning "carnage, slaughter." | female. AERON
1: Welsh unisex name meaning "fair, holy, white." | female. GWYN
1: Yiddish name meaning "golden." Compare with masculine Golda. | female. GOLDA (גּוֹלְדָה)
1: טַבְיְתָא, Greek: Ταβιθά, Hebrew: צְבִיָּה): Greek name of Aramaic origin, meaning "female gazelle." In the New Testament bible, this is the name of a woman restored to life by Peter. The name was translated as Dorkas in Acts 9:36. | female. TABITHA (Aramaic
1: � ִי� ָה): Hebrew name meaning "granddaughter" or "great-granddaughter."Native American Quechua name meaning "fire."Pet form of French Anne, meaning "favor; grace."Short form of Russian Annina, meaning "favor; grace."Spanish word for a "little girl." | female. NINA (Hebrew
1: מַרְתָּה, Aramaic: מַרְתָּא, Greek: Μάρθα): Greek name of Aramaic origin, meaning "lady, mistress." In the bible, this is the name of a sister of Lazarus. | female. MARTHA (Hebrew
1: שֶׁבַע): Compare with masculine Sheba.Short form of Hebrew Bathsheba, meaning "daughter of the oath." Variant spelling of English Shebah, meaning "oath" or "seven." | female. SHEBA (Hebrew
1: Ἅβραμ, Hebrew: אַבְרָם): In use by the English. Greek form of Hebrew Abram, meaning "father of elevation." Hebrew name meaning "father of elevation." In the bible, this is Abraham's name before God changed it. Also spelled Avram. | male. ABRAM (Greek
1: Ἀδάμ, Hebrew: אָדָם): In use by the English.Greek form of Hebrew Adam, meaning "the red earth."Hebrew name meaning "earth" or "red." In the bible, this is the name of the first man created by God, the husband of Eve. | male. ADAM (Greek
1: Μαρία): Greek form of Hebrew Miryam, meaning "obstinacy, rebelliousness" or "their rebellion." In the bible, this is the name of many characters, including the mother of Jesus and a sister of Lazarus. Latin form of Greek or Aramaic Mariam, meaning "obstinacy, rebelliousness" or "their rebellion." | female. MARIA (Greek
1: Ἄννα): Greek form of Hebrew Channah, meaning "favor; grace." In the New Testament bible, this is the name of a prophetess in Jerusalem.Short form of Latin Johanna, meaning "God is gracious."Variant spelling of English Hannah, meaning "favor; grace." | female. HANNA (Greek
1: Алёна): Russian form of Greek Helï��nē, possibly meaning "torch."Short form of Latin Magdalena, meaning "of Magdala." | female. ALENA (Russian
1: माला): Hindi name meaning "necklace." In use by the Romani. Old English name meaning "meeting place." | female. MALA (Hindi
2: female. 19th-century English elaborated form of Latin cara, meaning "beloved."
2: female. Anglicized form of Gaelic Doireann, meaning "sullen."
2: female. Anglicized form of Greek Rhachel, meaning "ewe." In the bible, this is the name of Jacob's wife.
2: female. Anglicized form of Hebrew Abigayil, meaning "father rejoices." In the bible, this is the name of the wife of King David.
2: female. Anglicized form of Hebrew Yickah, meaning "one who beholds" or "one who looks out." In the bible, this is the name of the sister of Lot.
2: female. Anglicized form of Irish Gaelic Aoife, probably meaning "beauty."
2: female. Anglicized form of Irish Gaelic Éibhleann, meaning "beauty, radiance."
2: female. Anglicized form of Irish Gaelic Eithne, meaning "kernel."
2: female. Anglicized form of Irish Gaelic Muadhnait, meaning "little noble one."
2: female. Anglicized form of Irish Gobnait, meaning "little smith."
2: female. Anglicized form of Scottish Gaelic Raghnaid, meaning "battle counsel."
2: female. Anglicized form of Scottish Mysie, a pet form of Mairead (English Margaret), meaning "pearl."
2: female. Anglicized pet form of Irish Gaelic Mór, meaning "great."
2: female. British English name meaning "field."
2: female. Contracted form of English Isaaca, meaning "he will laugh."
2: female. English color name meaning "scarlet red."
2: female. English feminine form of Hebrew Terach, meaning "delay" and "station." In the bible, this is the name of a place in the wilderness where the Israelites stopped on their Exodus.
2: female. English form of Latin Mathilda, meaning "mighty in battle."
2: female. English name derived from the flower name which originally meant "a line of verse engraved on the inner surface of a ring," but later acquired the meaning "bouquet, flower."
2: female. English name derived from the Italian word donna, meaning "lady."
2: female. English name derived from the vocabulary word, from Latin meritus, meaning "deserving."
2: female. English name derived from the vocabulary word, meaning "candy."
2: female. English name derived from the vocabulary word, meaning "cherry."
2: female. English name derived from the vocabulary word, meaning "day."
2: female. English name sometimes given to baby girls born in the month of May which was named after the Greek goddess Maia, meaning "nursing mother."
2: female. English pet form of Latin Candace, meaning "prince of servants."
2: female. English surname transferred to unisex forename use, derived from the Norman French personal name Aveline, meaning "little Eve."
2: female. English unisex name derived from the name of an Irish county, Ciarraí, meaning "Ciar's people."
2: female. English unisex name derived from the vocabulary word gale, meaning "sea storm."
2: female. English unisex short form of longer names beginning with the letter "D." In some cases, it may be of Scottish origin, associated with the River Dee, possibly meaning "dark water."
2: female. English variant spelling of Latin Maria, meaning "obstinacy, rebelliousness" or "their rebellion."
2: female. Feminine form of English Jesse, meaning "gift."
2: female. Feminine form of English Robert, meaning "bright fame."
2: female. Feminine form of English Timothy, meaning "to honor God."
2: female. Feminine form of French Émile, meaning "rival."
2: female. Feminine form of German Carl, meaning "man."
2: female. Feminine form of Greek Ambrosios, meaning "immortal."
2: female. Feminine form of Greek Anastasios, meaning "resurrection."
2: female. Feminine form of Greek Dorotheos, meaning "gift of God."
2: female. Feminine form of Greek Isidoros, meaning "gift of Isis."
2: female. Feminine form of Greek Timotheos, meaning "to honor God."
2: female. Feminine form of Italian Carlo, meaning "man."
2: female. Feminine form of Latin Ambrosius, meaning "immortal."
2: female. Feminine form of Latin Anastasius, meaning "resurrection."
2: female. Feminine form of Latin Dorotheus, meaning "gift of God."
2: female. Feminine form of Latin Franciscus, meaning "French."
2: female. Feminine form of Latin Isidorus, meaning "gift of Isis."
2: female. Feminine form of Latin Robertus, meaning "bright fame." In use by the Italians, Portuguese and Spanish.
2: female. Feminine form of Latin Timotheus, meaning "to honor God."
2: female. Feminine form of Middle English Daye, meaning "day."
2: female. Feminine form of Portuguese/Spanish Francisco, meaning "French."
2: female. Feminine form of Russian Isidor, meaning "gift of Isis."
2: female. From the constellation Carina, from Latin carina, which originally meant "shell of a nut," later "keel of a ship."
2: female. German form of Greek Helénē, probably meaning "torch."
2: female. German surname transferred to forename use, meaning "wild."
2: female. Greek form of Hebrew Channah, meaning "favor; grace." In the New Testament bible, this is the name of a prophetess in Jerusalem.
2: female. Greek form of Hebrew Chavvah, meaning "life." In the bible, this is the name of the first woman, the mother of the entire human family.
2: female. Greek form of Hebrew Miryam, meaning "obstinacy, rebelliousness" or "their rebellion." In the bible, this is the name of many characters, including the mother of Jesus and a sister of Lazarus.
2: female. Hebrew name meaning "delight, pleasure, rejuvenation." In the apocryphal Book of Tobit, this is the name of the mother of Sarah.
2: female. Hebrew name meaning "granddaughter" or "great-granddaughter."
2: female. Hindi name meaning "necklace." In use by the Romani.
2: female. Hungarian feminine form of Roman Latin Julianus, meaning "descended from Jupiter (Jove)."
2: female. Icelandic and Scandinavian form of Old Norse Hildr, meaning "battle."
2: female. Latin form of Greek or Aramaic Mariam, meaning "obstinacy, rebelliousness" or "their rebellion."
2: female. Latin form of Teutonic Mechthild, meaning "mighty in battle."
2: female. Low German form of Latin Christina, meaning "believer" or "follower of Christ."
2: female. Modern elaborated form of Latin Maria, meaning "obstinacy, rebelliousness" or "their rebellion."
2: female. Native American Quechua name meaning "fire."
2: female. Norman name derived from Germanic id, meaning "work."
2: female. Old English name meaning "meeting place."
2: female. Old English name meaning "willow tree."
2: female. Old German short form of longer names containing hild, meaning "battle."
2: female. Pet form of English Jessica, meaning "one who beholds" or "one who looks out."
2: female. Pet form of English Josephine, meaning "(God) shall add (another son)."
2: female. Pet form of English Margaret "pearl" and Mary "obstinacy, rebelliousness" or "their rebellion."
2: female. Pet form of French Anne, meaning "favor; grace."
2: female. Pet form of Scottish Jean, meaning "God is gracious."
2: female. Polish feminine form of Roman Latin Julianus, meaning "descended from Jupiter (Jove)."
2: female. Possibly an Anglicized form of Irish Gaelic Meadhbh, meaning "intoxicating."
2: female. Russian form of Greek Helï��nē, possibly meaning "torch."
2: female. Scandinavian form of Greek Helénē, probably meaning "torch."
2: female. Scandinavian form of Icelandic Iða, meaning "industrious."
2: female. Scandinavian form of Old Norse Hulð, meaning "hidden, obscure, secret."
2: female. Scandinavian form of Teutonic Mechthild, meaning "mighty in battle."
2: female. Short form of English Deena, meaning "dean, head, leader."
2: female. Short form of English Donalda, meaning "world ruler."
2: female. Short form of English Mabel, meaning "lovable."
2: female. Short form of English Monica, possibly meaning "advise, counsel."
2: female. Short form of German Griselda, meaning "gray battle maid."
2: female. Short form of Hebrew Bathsheba, meaning "daughter of the oath."
2: female. Short form of Latin Johanna, meaning "God is gracious."
2: female. Short form of Latin Magdalena, meaning "of Magdala."
2: female. Short form of Roman Latin Marina, meaning "of the sea."
2: female. Short form of Russian Annina, meaning "favor; grace."
2: female. Short form of various Anglicized forms of Irish Ríona, meaning "pure."
2: female. Spanish word for a "little girl."
2: female. Swedish form of Latin Christina, meaning "believer" or "follower of Christ."
2: female. Variant form of English Dora, meaning "gift." 
2: female. Variant spelling of English Carrie, meaning "man."
2: female. Variant spelling of English Cherie, meaning "darling."
2: female. Variant spelling of English Deana, meaning "dean, head, leader."
2: female. Variant spelling of English Deana, meaning "dean, head, leader."
2: female. Variant spelling of English Dinah, meaning "judgment."
2: female. Variant spelling of English Dinah, meaning "judgment."
2: female. Variant spelling of English Gail, meaning "father rejoices."
2: female. Variant spelling of English Hannah, meaning "favor; grace."
2: female. Variant spelling of English Huldah, meaning "mole" or "weasel."
2: female. Variant spelling of English Marissa, meaning "of the sea."
2: female. Variant spelling of English Maureen, meaning "obstinacy, rebelliousness" or "their rebellion."
2: female. Variant spelling of English Moriah, meaning "chosen by God."
2: female. Variant spelling of English Scarlett, meaning "dyer" or "seller of fabrics."
2: female. Variant spelling of English Shebah, meaning "oath" or "seven."
2: female. Variant spelling of English Tara, meaning "hill."
2: female. Variant spelling of English unisex Merritt, meaning "boundary gate."
2: female. Variant spelling of German Emmeline, meaning "work."
2: female. Variant spelling of Hebrew unisex Rinnah, meaning "shouting for joy."
2: female. Variant spelling of Scandinavian Mathilda, meaning "mighty in battle."
2: female. Yiddish form of German Salida, meaning "happiness, joy."
2: male. Anglicized form of Arabic Azra'il, the name of the "Angel of Death" who separates the soul from the body upon death.
2: male. Anglicized form of Arabic Azra'il, the name of the "Angel of Death" who separates the soul from the body upon death.
2: male. Anglicized form of Gaelic Áedán, meaning "fire."
2: male. Anglicized form of Greek Aminadab, meaning "servant of the prince." In the New Testament bible, this is the name of an ancestor of Christ.
2: male. Anglicized form of Greek Daniēl (Hebrew Daniyel), meaning "God is my judge." In the bible, this is the name of the hero of the Book of Daniel, who was cast into a den of lions but saved by God.
2: male. Anglicized form of Greek Elioud, meaning "God his glory." In the New Testament bible, this is the name of an ancestor of Christ.
2: male. Anglicized form of Greek Habel, meaning "vanity," i.e. "transitory."
2: male. Anglicized form of Greek Iob (Hebrew Iyowb), meaning "hated, oppressed." In the bible, this is the name of a patient man who was severely tested by God.
2: male. Anglicized form of Greek Kaïnam, meaning "their smith." In the New Testament bible, this is the name of a son of an ancestor of Christ.
2: male. Anglicized form of Greek Leui (Hebrew Leviy), meaning "adhesion, joined to" or "crown, garland." In the bible, this is the name of several characters, including the third son of Jacob.
2: male. Anglicized form of Greek Leuis, meaning "joined." In the bible, this is the name of the son of Alphaeus, a collector of customs.
2: male. Anglicized form of Greek Philippos (Latin Philippus), meaning "lover of horses." In the bible, this is the name of one of the 12 apostles of Jesus, and several other characters.
2: male. Anglicized form of Hebrew Allown, meaning "oak tree." In the bible, this is the name of a son of Simeon.
2: male. Anglicized form of Hebrew Ammiynadab, meaning "kindred of the prince." In the Old Testament bible, this is the name of several characters, including a son of Aram and a son of Kohath.
2: male. Anglicized form of Hebrew Azriy'el, meaning "help of God." In the bible, this is the name of several minor characters.
2: male. Anglicized form of Hebrew Azriy'el, meaning "help of God." In the bible, this is the name of several minor characters.
2: male. Anglicized form of Hebrew Chadad, meaning "mighty" or "sharpness." In the bible, this is the name of one of the twelve sons of Ishmael.
2: male. Anglicized form of Hebrew Echuwd, meaning "joining together, united." In the bible, this is the name of a great grandson of Benjamin.
2: male. Anglicized form of Hebrew Ehuwd, meaning "joining together, united." In the bible, this is the name of a son of Bilhan and a judge of Israel.
2: male. Anglicized form of Hebrew Hebel, meaning "breath, breathing."
2: male. Anglicized form of Hebrew Qeynan, meaning "possession." In the bible, this is the name of a son of Enosh.
2: male. Anglicized form of Hebrew Shamiyr, meaning "a sharp point," hence "thorn." In the bible, this is the name of two towns.
2: male. Anglicized form of Hebrew Shamuwr, meaning "a message, tidings" or "that which is heard." In the bible, this is the name of a Levite.
2: male. Anglicized form of Hebrew Yaiyr, meaning "whom God enlightens." In the bible, this is the name of several characters, including a descendant of Manasseh.
2: male. Anglicized form of Hebrew Yauwr, meaning "forested." In the bible, this is the name of the father of Elhanan.
2: male. Anglicized form of Hebrew Yowash, meaning "given by the Lord." In the bible, this is the name of several characters, including the father of Gideon.
2: male. Anglicized form of Hebrew Yow'ash, meaning "Jehovah hastens." In the bible, this is the name of a Benjamite and the name of an officer in David's court.
